gene,coordinates,chromosome,strand,paralog_group
YNL198C,"[(266514, 266816)]",chrXIV,-,YNL198C
YNL199C,"[(264926, 266530)]",chrXIV,-,YNL199C
YNL200C,"[(263713, 264453)]",chrXIV,-,YNL200C
YNL201C,"[(260627, 263203)]",chrXIV,-,YNL201C
YNL202W,"[(259578, 260456)]",chrXIV,+,YNL202W
YNL203C,"[(259439, 260050)]",chrXIV,-,YNL203C
YNL204C,"[(258375, 259277)]",chrXIV,-,YNL204C
YNL205C,"[(258155, 258577)]",chrXIV,-,YNL205C
YNL206C,"[(256788, 258155)]",chrXIV,-,YNL206C
YNL207W,"[(255353, 256630)]",chrXIV,+,YNL207W
YNL208W,"[(254418, 255017)]",chrXIV,+,YNL208W
YNL209W,"[(252059, 253900)]",chrXIV,+,YKL073W
YNL210W,"[(250931, 251743)]",chrXIV,+,YNL210W
YNL211C,"[(250055, 250315)]",chrXIV,-,YNL211C
YNL212W,"[(247461, 249809)]",chrXIV,+,YNL212W
YNL213C,"[(246460, 247104)]",chrXIV,-,YNL213C
YNL214W,"[(245617, 246216)]",chrXIV,+,YNL214W
YNL215W,"[(244468, 245430)]",chrXIV,+,YNL215W
YNL216W,"[(241689, 244172)]",chrXIV,+,YNL216W
YNL217W,"[(240331, 241311)]",chrXIV,+,YNL217W
YNL218W,"[(238238, 240001)]",chrXIV,+,YNL218W
YNL219C,"[(235996, 237663)]",chrXIV,-,YNL219C
YNL220W,"[(234413, 235714)]",chrXIV,+,YNL220W
YNL221C,"[(231068, 233695)]",chrXIV,-,YNL221C
YNL222W,"[(229094, 229714)]",chrXIV,+,YNL222W
YNL223W,"[(227370, 228854)]",chrXIV,+,YNL223W
YNL224C,"[(224796, 227099)]",chrXIV,-,YNL224C
YNL225C,"[(222724, 224469)]",chrXIV,-,YNL225C
YNL226W,"[(222239, 222649)]",chrXIV,+,YNL226W
YNL227C,"[(220659, 222431)]",chrXIV,-,YNL227C
YNL228W,"[(220645, 221421)]",chrXIV,+,YNL228W
YNL229C,"[(219137, 220201)]",chrXIV,-,YNL229C
YNL230C,"[(217523, 218662)]",chrXIV,-,YNL230C
YNL231C,"[(215987, 217042)]",chrXIV,-,YNL264C
YNL232W,"[(214923, 215801)]",chrXIV,+,YNL232W
YNL233W,"[(211922, 214600)]",chrXIV,+,YNL233W
YNL234W,"[(210233, 211513)]",chrXIV,+,YNL234W
YNL235C,"[(209548, 209979)]",chrXIV,-,YNL235C
YNL236W,"[(206930, 209854)]",chrXIV,+,YNL236W
YNL237W,"[(205188, 206567)]",chrXIV,+,YNL237W
YNL238W,"[(202428, 204872)]",chrXIV,+,YNL238W
YNL239W,"[(200569, 201933)]",chrXIV,+,YNL239W
YNL240C,"[(198502, 199977)]",chrXIV,-,YNL240C
YNL241C,"[(196426, 197943)]",chrXIV,-,YNL241C
YNL242W,"[(191324, 196102)]",chrXIV,+,YNL242W
YNL243W,"[(188051, 190957)]",chrXIV,+,YNL243W
YNL244C,"[(187170, 187496)]",chrXIV,-,YNL244C
YNL245C,"[(186346, 186885)]",chrXIV,-,YNL245C
YNL246W,"[(185460, 185491), (185587, 186349)]",chrXIV,+,YKR048C
YNL247W,"[(182875, 185178)]",chrXIV,+,YNL247W
YNL248C,"[(181361, 182608)]",chrXIV,-,YNL248C
YNL249C,"[(179394, 181022)]",chrXIV,-,YNL249C
YNL250W,"[(175410, 179348)]",chrXIV,+,YNL250W
YNL251C,"[(172588, 174315)]",chrXIV,-,YNL251C
YNL252C,"[(171441, 172286)]",chrXIV,-,YNL252C
YNL253W,"[(170018, 171286)]",chrXIV,+,YNL253W
YNL254C,"[(168043, 169248)]",chrXIV,-,YNL254C
YNL255C,"[(167329, 167790)]",chrXIV,-,YNL255C
YNL256W,"[(164623, 167097)]",chrXIV,+,YNL256W
YNL257C,"[(160631, 164320)]",chrXIV,-,YHR155W
YNL258C,"[(158109, 160373)]",chrXIV,-,YNL258C
YNL259C,"[(157644, 157865)]",chrXIV,-,YNL259C
YNL260C,"[(156859, 157347)]",chrXIV,-,YNL260C
YNL261W,"[(155100, 156539)]",chrXIV,+,YNL261W
YNL262W,"[(148212, 154880)]",chrXIV,+,YNL262W
YNL263C,"[(146896, 147840)]",chrXIV,-,YNL263C
YNL264C,"[(145563, 146615)]",chrXIV,-,YNL264C
YNL265C,"[(144280, 145149), (145255, 145281)]",chrXIV,-,YNL265C
YNL266W,"[(144245, 144664)]",chrXIV,+,YNL266W
YNL267W,"[(140878, 144078)]",chrXIV,+,YLR305C
YNL268W,"[(138550, 140385)]",chrXIV,+,YNL268W
YNL269W,"[(137699, 138094)]",chrXIV,+,YNL269W
YNL270C,"[(135940, 137661)]",chrXIV,-,YEL063C
YNL271C,"[(129522, 135383)]",chrXIV,-,YNL271C
YNL272C,"[(126805, 129084)]",chrXIV,-,YNL272C
YNL273W,"[(122883, 126599)]",chrXIV,+,YNL273W
YNL274C,"[(121118, 122170)]",chrXIV,-,YNL274C
YNL275W,"[(119268, 120998)]",chrXIV,+,YNL275W
YNL276C,"[(118431, 118826)]",chrXIV,-,YNL276C
YNL277W,"[(117349, 118809)]",chrXIV,+,YNL277W
YNL277W-A,"[(116679, 116867)]",chrXIV,+,YNL277W-A
YNL278W,"[(113271, 116453)]",chrXIV,+,YJL016W
YNL279W,"[(110917, 112902)]",chrXIV,+,YNL279W
YNL280C,"[(109095, 110411)]",chrXIV,-,YNL280C
YNL281W,"[(108467, 108928)]",chrXIV,+,YNL281W
YNL282W,"[(107687, 108274)]",chrXIV,+,YNL282W
YNL283C,"[(105184, 106695)]",chrXIV,-,YNL283C
YNL284C,"[(103134, 104102)]",chrXIV,-,YNL284C
YNL284C-A,"[(100910, 102232)]",chrXIV,-,YNL284C-A
YNL284C-B,"[(96964, 100926), (100928, 102232)]",chrXIV,-,YNL284C-B
YNL285W,"[(96173, 96544)]",chrXIV,+,YNL285W
YNL286W,"[(95223, 96080)]",chrXIV,+,YNL286W
YNL287W,"[(91994, 94801)]",chrXIV,+,YNL287W
YNL288W,"[(90303, 91424)]",chrXIV,+,YNL288W
YNL289W,"[(87897, 88736)]",chrXIV,+,YGL215W
YNL290W,"[(86218, 87240)]",chrXIV,+,YJR068W
YNL291C,"[(84169, 85815)]",chrXIV,-,YNL291C
YNL292W,"[(82806, 84017)]",chrXIV,+,YNL292W
YNL293W,"[(80640, 82541)]",chrXIV,+,YOL112W
YNL294C,"[(78659, 80260)]",chrXIV,-,YNL294C
YNL295W,"[(76946, 78520)]",chrXIV,+,YNL295W
YNL296W,"[(76273, 76587)]",chrXIV,+,YNL296W
YNL297C,"[(71673, 76583)]",chrXIV,-,YEL022W
YNL298W,"[(68915, 71443)]",chrXIV,+,YJL095W
YNL299W,"[(66517, 68445)]",chrXIV,+,YOL115W
YNL300W,"[(65744, 66052)]",chrXIV,+,YNL300W
YNL301C,"[(63570, 64018), (64451, 64562)]",chrXIV,-,YNL301C
YNL302C,"[(61958, 62372), (62924, 62943)]",chrXIV,-,YOL121C
YNL303W,"[(61510, 61857)]",chrXIV,+,YNL303W
YNL304W,"[(60297, 61550)]",chrXIV,+,YNL304W
YNL305C,"[(58898, 59791)]",chrXIV,-,YNL305C
YNL306W,"[(58155, 58808)]",chrXIV,+,YNL306W
YNL307C,"[(56446, 57573)]",chrXIV,-,YNL307C
YNL308C,"[(54122, 55897)]",chrXIV,-,YNL308C
YNL309W,"[(52662, 53924)]",chrXIV,+,YNL309W
YNL310C,"[(51907, 52431)]",chrXIV,-,YNL310C
YNL311C,"[(49397, 51688)]",chrXIV,-,YNL311C
YNL312W,"[(48287, 48293), (48402, 49216)]",chrXIV,+,YNL312W
YNL313C,"[(45308, 48022)]",chrXIV,-,YNL313C
YNL314W,"[(44447, 45214)]",chrXIV,+,YNL314W
YNL315C,"[(43324, 44280)]",chrXIV,-,YNL315C
YNL316C,"[(42071, 43075)]",chrXIV,-,YNL316C
YNL317W,"[(40619, 42016)]",chrXIV,+,YNL317W
YNL318C,"[(38707, 40329)]",chrXIV,-,YNL318C
YNL319W,"[(38642, 39082)]",chrXIV,+,YNL319W
YNL320W,"[(37700, 38554)]",chrXIV,+,YNL320W
YNL321W,"[(34696, 37422)]",chrXIV,+,YNL321W
YNL322C,"[(33294, 34235)]",chrXIV,-,YNL322C
YNL323W,"[(31944, 33188)]",chrXIV,+,YNR048W
YNL324W,"[(31050, 31445)]",chrXIV,+,YNL324W
YNL325C,"[(28739, 31378)]",chrXIV,-,YNL325C
YNL326C,"[(27337, 28347)]",chrXIV,-,YNL326C
YNL327W,"[(24048, 27173)]",chrXIV,+,YNL327W
YNL328C,"[(22834, 23274)]",chrXIV,-,YNL328C
YNL329C,"[(19541, 22633)]",chrXIV,-,YNL329C
YNL330C,"[(18001, 19302)]",chrXIV,-,YNL021W
YNL331C,"[(16118, 17248)]",chrXIV,-,YMR041C
YNL332W,"[(14832, 15854)]",chrXIV,+,YNL332W
YNL333W,"[(13267, 14163)]",chrXIV,+,YFL059W
YNL334C,"[(12208, 12876)]",chrXIV,-,YMR095C
YNL335W,"[(11452, 12129)]",chrXIV,+,YFL061W
YNL336W,"[(8330, 9475)]",chrXIV,+,YHL042W
YNL337W,"[(7165, 7419)]",chrXIV,+,YER188C-A
YNL338W,"[(6561, 6719)]",chrXIV,+,YNL338W
YNL339C,"[(371, 5931), (6080, 6098)]",chrXIV,-,YPR202W
YNL339W-A,"[(1517, 2092)]",chrXIV,+,YFL067W
YNL339W-B,"[(734, 1216)]",chrXIV,+,YNL339W-B
YNR001C,"[(629622, 631061)]",chrXIV,-,YPR001W
YNR001W-A,"[(631263, 631481)]",chrXIV,+,YNR001W-A
YNR002C,"[(633008, 633856)]",chrXIV,-,YCR010C
YNR003C,"[(634344, 635297)]",chrXIV,-,YNR003C
YNR003W-A,"[(634420, 634518)]",chrXIV,+,YNR003W-A
YNR004W,"[(635943, 636383)]",chrXIV,+,YNR004W
YNR005C,"[(636931, 637335)]",chrXIV,-,YNR005C
YNR006W,"[(636986, 638854)]",chrXIV,+,YNR006W
YNR007C,"[(639182, 640114)]",chrXIV,-,YNR007C
YNR008W,"[(640396, 642381)]",chrXIV,+,YNR008W
YNR009W,"[(642690, 643439)]",chrXIV,+,YNR009W
YNR010W,"[(643744, 644193)]",chrXIV,+,YNR010W
YNR011C,"[(644320, 646950)]",chrXIV,-,YKR086W
YNR012W,"[(647432, 648937)]",chrXIV,+,YHR128W
YNR013C,"[(649028, 651712)]",chrXIV,-,YCR037C
YNR014W,"[(652465, 653103)]",chrXIV,+,YNR014W
YNR015W,"[(653387, 654541)]",chrXIV,+,YML080W
YNR016C,"[(654673, 661374)]",chrXIV,-,YNR016C
YNR017W,"[(662913, 663581)]",chrXIV,+,YNR017W
YNR018W,"[(664270, 664944)]",chrXIV,+,YNR018W
YNR019W,"[(665339, 667267)]",chrXIV,+,YCR048W
YNR020C,"[(667410, 668222)]",chrXIV,-,YNR020C
YNR021W,"[(668377, 669591)]",chrXIV,+,YNR021W
YNR022C,"[(669774, 670193)]",chrXIV,-,YNR022C
YNR023W,"[(670418, 672118)]",chrXIV,+,YMR233W
YNR024W,"[(672409, 672969)]",chrXIV,+,YNR024W
YNR025C,"[(672702, 673061)]",chrXIV,-,YNR025C
YNR026C,"[(673274, 674689)]",chrXIV,-,YGR200C
YNR027W,"[(674923, 675876)]",chrXIV,+,YNR027W
YNR028W,"[(676177, 677103)]",chrXIV,+,YNR028W
YNR029C,"[(677199, 678488)]",chrXIV,-,YNR029C
YNR030W,"[(678799, 680454)]",chrXIV,+,YNL219C
YNR031C,"[(680694, 685433)]",chrXIV,-,YJL095W
YNR032C-A,"[(687243, 687464)]",chrXIV,-,YNR032C-A
YNR032W,"[(686010, 687116)]",chrXIV,+,YLR433C
YNR033W,"[(687635, 689998)]",chrXIV,+,YNR033W
YNR034W,"[(690321, 691286)]",chrXIV,+,YCR073W-A
YNR034W-A,"[(692561, 692857)]",chrXIV,+,YNR034W-A
YNR035C,"[(693019, 694047)]",chrXIV,-,YNR035C
YNR036C,"[(694361, 694822)]",chrXIV,-,YPR132W
YNR037C,"[(695052, 695327)]",chrXIV,-,YNR037C
YNR038W,"[(695595, 697484)]",chrXIV,+,YDL031W
YNR039C,"[(697614, 699431)]",chrXIV,-,YNR039C
YNR040W,"[(699690, 700460)]",chrXIV,+,YNR040W
YNR041C,"[(700541, 701659)]",chrXIV,-,YPL172C
YNR042W,"[(701238, 701666)]",chrXIV,+,YNR042W
YNR043W,"[(701895, 703085)]",chrXIV,+,YNR043W
YNR044W,"[(703699, 705876)]",chrXIV,+,YNR044W
YNR045W,"[(706139, 707608)]",chrXIV,+,YNR045W
YNR046W,"[(707788, 708195)]",chrXIV,+,YNR046W
YNR047W,"[(708523, 711204)]",chrXIV,+,YBR028C
YNR048W,"[(711630, 712811)]",chrXIV,+,YNR048W
YNR049C,"[(713023, 713655)]",chrXIV,-,YNR049C
YNR050C,"[(714048, 715388)]",chrXIV,-,YNR050C
YNR051C,"[(716780, 718327)]",chrXIV,-,YNR051C
YNR052C,"[(719346, 720647)]",chrXIV,-,YNR052C
YNR053C,"[(721120, 721770), (722303, 723112)]",chrXIV,-,YGL099W
YNR054C,"[(723356, 724306)]",chrXIV,-,YNR054C
YNR055C,"[(728426, 730186)]",chrXIV,-,YNR055C
YNR056C,"[(731618, 733303)]",chrXIV,-,YNR056C
YNR057C,"[(733356, 734069)]",chrXIV,-,YNR057C
YNR058W,"[(734291, 735733)]",chrXIV,+,YGR019W
YNR059W,"[(736803, 738545)]",chrXIV,+,YGL257C
YNR060W,"[(739951, 742110)]",chrXIV,+,YKL220C
YNR061C,"[(742881, 743540)]",chrXIV,-,YNR061C
YNR062C,"[(744360, 745343)]",chrXIV,-,YNR062C
YNR063W,"[(746943, 748766)]",chrXIV,+,YKR064W
YNR064C,"[(749136, 750008)]",chrXIV,-,YNR064C
YNR065C,"[(750350, 753700)]",chrXIV,-,YBL017C
YNR066C,"[(753725, 755035)]",chrXIV,-,YCR101C
YNR067C,"[(755746, 759099)]",chrXIV,-,YNR067C
YNR068C,"[(760067, 760885)]",chrXIV,-,YNR068C
YNR069C,"[(761123, 762592)]",chrXIV,-,YNR068C
YNR070W,"[(765375, 769376)]",chrXIV,+,YOR011W
YNR071C,"[(770440, 771468)]",chrXIV,-,YHR210C
YNR072W,"[(772657, 774351)]",chrXIV,+,YDL247W
YNR073C,"[(774792, 776300)]",chrXIV,-,YEL070W
YNR074C,"[(777602, 778738)]",chrXIV,-,YNR074C
YNR075C-A,"[(781511, 781603)]",chrXIV,-,YNR075C-A
YNR075W,"[(779916, 781040)]",chrXIV,+,YHL042W
YNR076W,"[(781918, 782280)]",chrXIV,+,YIL011W
YNR077C,"[(783287, 783541)]",chrXIV,-,YER188C-A
YOL001W,"[(325249, 326130)]",chrXV,+,YGL215W
YOL002C,"[(323411, 324364)]",chrXV,-,YOL002C
YOL003C,"[(321858, 322994)]",chrXV,-,YOL003C
YOL004W,"[(316938, 321548)]",chrXV,+,YOL004W
YOL005C,"[(315813, 316175)]",chrXV,-,YOL005C
YOL006C,"[(313078, 315387)]",chrXV,-,YOL006C
YOL007C,"[(311342, 312367)]",chrXV,-,YOL007C
YOL008W,"[(310312, 310935)]",chrXV,+,YOL008W
YOL009C,"[(309324, 310139)]",chrXV,-,YOL009C
YOL010W,"[(307938, 309041)]",chrXV,+,YOL010W
YOL011W,"[(305349, 307409)]",chrXV,+,YNL012W
YOL012C,"[(303579, 303983)]",chrXV,-,YOL012C
YOL013C,"[(301380, 303035)]",chrXV,-,YOL013C
YOL013W-A,"[(301047, 301238)]",chrXV,+,YOR072W-B
YOL013W-B,"[(300690, 300980)]",chrXV,+,YOL013W-B
YOL014W,"[(299693, 300067)]",chrXV,+,YOL014W
YOL015W,"[(297078, 298838)]",chrXV,+,YOL015W
YOL016C,"[(294777, 296120)]",chrXV,-,YGL179C
YOL017W,"[(292529, 294673)]",chrXV,+,YOL017W
YOL018C,"[(290881, 292074)]",chrXV,-,YOL018C
YOL019W,"[(288898, 290553)]",chrXV,+,YOL019W
YOL019W-A,"[(288420, 288572)]",chrXV,+,YOL019W-A
YOL020W,"[(286172, 287950)]",chrXV,+,YOL020W
YOL021C,"[(282421, 285426)]",chrXV,-,YOL021C
YOL022C,"[(280272, 281498)]",chrXV,-,YOL022C
YOL023W,"[(278056, 280086)]",chrXV,+,YAL035W
YOL024W,"[(277086, 277604)]",chrXV,+,YOL024W
YOL025W,"[(274957, 276939)]",chrXV,+,YOL025W
YOL026C,"[(274012, 274353)]",chrXV,-,YOL026C
YOL027C,"[(272003, 273724)]",chrXV,-,YPR125W
YOL028C,"[(270633, 271370)]",chrXV,-,YOL028C
YOL029C,"[(269815, 270420)]",chrXV,-,YOL029C
YOL030W,"[(268187, 269641)]",chrXV,+,YMR215W
YOL031C,"[(266264, 267529)]",chrXV,-,YOL031C
YOL032W,"[(265429, 266169)]",chrXV,+,YOL032W
YOL033W,"[(263475, 265085)]",chrXV,+,YOR168W
YOL034W,"[(259923, 263204)]",chrXV,+,YLR383W
YOL035C,"[(258803, 259105)]",chrXV,-,YOL035C
YOL036W,"[(256745, 259030)]",chrXV,+,YOL036W
YOL037C,"[(256666, 257019)]",chrXV,-,YOL037C
YOL038C-A,"[(254926, 255021)]",chrXV,-,YOL038C-A
YOL038W,"[(255337, 256101)]",chrXV,+,YGR253C
YOL039W,"[(254297, 254617)]",chrXV,+,YDL081C
YOL040C,"[(253149, 253577)]",chrXV,-,YNR037C
YOL041C,"[(251267, 252646)]",chrXV,-,YOL041C
YOL042W,"[(249825, 250916)]",chrXV,+,YOL042W
YOL043C,"[(248392, 249534)]",chrXV,-,YAL015C
YOL044W,"[(247150, 248301)]",chrXV,+,YOL044W
YOL045W,"[(243497, 246802)]",chrXV,+,YOL045W
YOL046C,"[(243466, 244140)]",chrXV,-,YOL046C
YOL047C,"[(241614, 242441), (242505, 242747)]",chrXV,-,YOL047C
YOL048C,"[(240204, 240947), (241026, 241310)]",chrXV,-,YOL048C
YOL049W,"[(238619, 240094)]",chrXV,+,YOL049W
YOL050C,"[(237882, 238202)]",chrXV,-,YOL050C
YOL051W,"[(234940, 238185)]",chrXV,+,YOL051W
YOL052C,"[(232446, 233636)]",chrXV,-,YOL052C
YOL052C-A,"[(231570, 231755)]",chrXV,-,YOL052C-A
YOL053W,"[(230085, 231272)]",chrXV,+,YOL053W
YOL054W,"[(228614, 229834)]",chrXV,+,YOL054W
YOL055C,"[(224420, 226075)]",chrXV,-,YPL258C
YOL056W,"[(223268, 224179)]",chrXV,+,YKL152C
YOL057W,"[(220767, 222902)]",chrXV,+,YOL057W
YOL058W,"[(219211, 220473)]",chrXV,+,YOL058W
YOL059W,"[(217126, 218448)]",chrXV,+,YOL059W
YOL060C,"[(214017, 216137)]",chrXV,-,YOL060C
YOL061W,"[(212244, 213734)]",chrXV,+,YKL181W
YOL062C,"[(210520, 211995)]",chrXV,-,YOL062C
YOL063C,"[(207392, 210265)]",chrXV,-,YOL063C
YOL064C,"[(206103, 207176)]",chrXV,-,YOL064C
YOL065C,"[(204731, 205885)]",chrXV,-,YNL325C
YOL066C,"[(202696, 204471)]",chrXV,-,YOL066C
YOL067C,"[(201985, 202518)]",chrXV,-,YOL067C
YOL068C,"[(200368, 201879)]",chrXV,-,YOL068C
YOL069W,"[(198942, 200297)]",chrXV,+,YOL069W
YOL070C,"[(197220, 198725)]",chrXV,-,YOL070C
YOL071W,"[(196507, 196995)]",chrXV,+,YOL071W
YOL072W,"[(194970, 196337)]",chrXV,+,YJR084W
YOL073C,"[(193832, 194800)]",chrXV,-,YOL073C
YOL075C,"[(189658, 193542)]",chrXV,-,YOR011W
YOL076W,"[(187024, 189414)]",chrXV,+,YDL040C
YOL077C,"[(185848, 186723)]",chrXV,-,YOL077C
YOL077W-A,"[(185438, 185644)]",chrXV,+,YOL077W-A
YOL078W,"[(181682, 185212)]",chrXV,+,YOL078W
YOL079W,"[(181057, 181455)]",chrXV,+,YOL079W
YOL080C,"[(180558, 181427)]",chrXV,-,YLR107W
YOL081W,"[(171070, 180309)]",chrXV,+,YKL092C
YOL082W,"[(168727, 169974)]",chrXV,+,YOL082W
YOL083C-A,"[(166461, 166601)]",chrXV,-,YOL083C-A
YOL083W,"[(165714, 166952)]",chrXV,+,YOL083W
YOL084W,"[(162356, 165331)]",chrXV,+,YOL084W
YOL085C,"[(161673, 162014)]",chrXV,-,YOL085C
YOL085W-A,"[(161579, 161791)]",chrXV,+,YOL085W-A
YOL086C,"[(159548, 160594)]",chrXV,-,YLR070C
YOL086W-A,"[(159173, 159445)]",chrXV,+,YOL086W-A
YOL087C,"[(155287, 158637)]",chrXV,-,YOL087C
YOL088C,"[(153912, 154745)]",chrXV,-,YOL088C
YOL089C,"[(150398, 153490)]",chrXV,-,YKR064W
YOL090W,"[(147382, 150276)]",chrXV,+,YOL090W
YOL091W,"[(145334, 147163)]",chrXV,+,YOL091W
YOL092W,"[(144204, 145130)]",chrXV,+,YOL092W
YOL093W,"[(142815, 143696)]",chrXV,+,YOL093W
YOL094C,"[(141584, 142555)]",chrXV,-,YJR068W
YOL095C,"[(139227, 141347)]",chrXV,-,YJL092W
YOL096C,"[(138107, 139045)]",chrXV,-,YOL096C
YOL097C,"[(136527, 137825)]",chrXV,-,YOL097C
YOL097W-A,"[(136220, 136405)]",chrXV,+,YOL097W-A
YOL098C,"[(132725, 135838)]",chrXV,-,YOL098C
YOL099C,"[(132017, 132508)]",chrXV,-,YOL099C
YOL100W,"[(129237, 132482)]",chrXV,+,YHR205W
YOL101C,"[(126982, 127920)]",chrXV,-,YOL101C
YOL102C,"[(125997, 126689)]",chrXV,-,YOL102C
YOL103W,"[(124001, 125830)]",chrXV,+,YDL247W
YOL103W-A,"[(118000, 119322)]",chrXV,+,YOL103W-A
YOL103W-B,"[(118000, 119304), (119306, 123268)]",chrXV,+,YOL103W-B
YOL104C,"[(116396, 117454)]",chrXV,-,YOL104C
YOL105C,"[(114138, 115808)]",chrXV,-,YNL283C
YOL106W,"[(113226, 113579)]",chrXV,+,YLR334C
YOL107W,"[(112102, 113130)]",chrXV,+,YOL107W
YOL108C,"[(111431, 111886)]",chrXV,-,YOL108C
YOL109W,"[(110297, 110638)]",chrXV,+,YOL109W
YOL110W,"[(109176, 109889)]",chrXV,+,YOL110W
YOL111C,"[(108258, 108896)]",chrXV,-,YOL111C
YOL112W,"[(106710, 108188)]",chrXV,+,YOL112W
YOL113W,"[(104326, 106293)]",chrXV,+,YJL095W
YOL114C,"[(103317, 103925)]",chrXV,-,YOL114C
YOL115W,"[(101475, 103229)]",chrXV,+,YOL115W
YOL116W,"[(99809, 100957)]",chrXV,+,YOL116W
YOL117W,"[(97551, 99488)]",chrXV,+,YOL117W
YOL118C,"[(96608, 96916)]",chrXV,-,YOL118C
YOL119C,"[(94856, 96361)]",chrXV,-,YOR306C
YOL120C,"[(93395, 93843), (94291, 94402)]",chrXV,-,YNL301C
YOL121C,"[(92026, 92440), (92831, 92850)]",chrXV,-,YOL121C
YOL122C,"[(89692, 91419)]",chrXV,-,YOL122C
YOL123W,"[(87844, 89448)]",chrXV,+,YHR015W
YOL124C,"[(85456, 86757)]",chrXV,-,YOL124C
YOL125W,"[(83834, 85264)]",chrXV,+,YOL125W
YOL126C,"[(81787, 82920)]",chrXV,-,YOL126C
YOL127W,"[(80348, 80360), (80775, 81190)]",chrXV,+,YOL127W
YOL128C,"[(78352, 79479)]",chrXV,-,YOL128C
YOL129W,"[(77560, 78114)]",chrXV,+,YOL129W
YOL130W,"[(74400, 76979)]",chrXV,+,YOL130W
YOL131W,"[(73031, 73357)]",chrXV,+,YOL131W
YOL132W,"[(71300, 72715)]",chrXV,+,YMR215W
YOL133W,"[(70325, 70690)]",chrXV,+,YOL133W
YOL134C,"[(70156, 70545)]",chrXV,-,YOL134C
YOL135C,"[(69376, 70044)]",chrXV,-,YOL135C
YOL136C,"[(67561, 68754)]",chrXV,-,YJL155C
YOL137W,"[(65621, 67114)]",chrXV,+,YOL137W
YOL138C,"[(61325, 65350)]",chrXV,-,YBR195C
YOL139C,"[(60383, 61024)]",chrXV,-,YOL139C
YOL140W,"[(58759, 60030)]",chrXV,+,YGR019W
YOL141W,"[(56452, 58539)]",chrXV,+,YDR435C
YOL142W,"[(55558, 56280)]",chrXV,+,YHR069C
YOL143C,"[(54595, 55104)]",chrXV,-,YOL143C
YOL144W,"[(53098, 54552)]",chrXV,+,YOL144W
YOL145C,"[(49555, 52788)]",chrXV,-,YOL145C
YOL146W,"[(48864, 49448)]",chrXV,+,YOL146W
YOL147C,"[(47933, 48643)]",chrXV,-,YOL147C
YOL148C,"[(45760, 47574)]",chrXV,-,YOL148C
YOL149W,"[(44938, 45633)]",chrXV,+,YOL149W
YOL150C,"[(44473, 44784)]",chrXV,-,YOL150C
YOL151W,"[(43694, 44722)]",chrXV,+,YGL001C
YOL152W,"[(40748, 42610)]",chrXV,+,YOR384W
YOL153C,"[(36822, 38567)]",chrXV,-,YOL153C
YOL154W,"[(34658, 35407)]",chrXV,+,YOL154W
YOL155C,"[(28703, 31606)]",chrXV,-,YHR214W
YOL155W-A,"[(27084, 27218)]",chrXV,+,YOL155W-A
YOL156W,"[(25273, 26976)]",chrXV,+,YDL247W
YOL157C,"[(22525, 24294)]",chrXV,-,YBR299W
YOL158C,"[(19491, 21311)]",chrXV,-,YOL158C
YOL159C,"[(17281, 17796)]",chrXV,-,YOL159C
YOL159C-A,"[(15233, 15505)]",chrXV,-,YOL159C-A
YOL160W,"[(14313, 14654)]",chrXV,+,YOL160W
YOL161C,"[(11549, 11911)]",chrXV,-,YIL011W
YOL162W,"[(10119, 10766)]",chrXV,+,YOL163W
YOL163W,"[(9597, 10106)]",chrXV,+,YOL163W
YOL164W,"[(6175, 8115)]",chrXV,+,YOL164W
YOL164W-A,"[(4130, 4312)]",chrXV,+,YOL164W-A
YOL165C,"[(1647, 2078)]",chrXV,-,YMR041C
YOL166C,"[(1000, 1338)]",chrXV,-,YOL166C
YOL166W-A,"[(585, 740)]",chrXV,+,YER188C-A
YOR001W,"[(326832, 329033)]",chrXV,+,YOR001W
YOR002W,"[(329417, 331051)]",chrXV,+,YOR067C
YOR003W,"[(331455, 332891)]",chrXV,+,YNL238W
YOR004W,"[(333592, 334356)]",chrXV,+,YDR339C
YOR005C,"[(334509, 337343)]",chrXV,-,YOR005C
YOR006C,"[(337680, 338621)]",chrXV,-,YOR006C
YOR007C,"[(338938, 339978)]",chrXV,-,YOR007C
YOR008C,"[(341278, 342414)]",chrXV,-,YOR008C
YOR008C-A,"[(342857, 343081)]",chrXV,-,YOR008C-A
YOR008W-B,"[(343929, 344030)]",chrXV,+,YOR008W-B
YOR009W,"[(344335, 345798)]",chrXV,+,YIL011W
YOR010C,"[(346195, 346950)]",chrXV,-,YOR010C
YOR011W,"[(349679, 353863)]",chrXV,+,YOR011W
YOR011W-A,"[(355652, 355858)]",chrXV,+,YOR011W-A
YOR012W,"[(356543, 356956)]",chrXV,+,YOR012W
YOR013W,"[(356751, 357221)]",chrXV,+,YOR012W
YOR014W,"[(357674, 359947)]",chrXV,+,YOR014W
YOR015W,"[(359993, 360352)]",chrXV,+,YOR015W
YOR016C,"[(360461, 361084)]",chrXV,-,YAL007C
YOR017W,"[(361412, 363814)]",chrXV,+,YOR017W
YOR018W,"[(364369, 366882)]",chrXV,+,YPR030W
YOR019W,"[(368127, 370319)]",chrXV,+,YDR475C
YOR020C,"[(370524, 370844)]",chrXV,-,YOR020C
YOR020W-A,"[(371685, 371957)]",chrXV,+,YOR020W-A
YOR021C,"[(372798, 373439)]",chrXV,-,YOR021C
YOR022C,"[(373710, 375857)]",chrXV,-,YOR022C
